Comment;Designator;Footprint;JLCPCB Part #;Qty;Ext.Price($)
USB_C_Receptacle_USB2.0_16P;J3;USB-C-SMD_TYPE-C-16PIN-2MD-073;C2765186;3;0.20
RV-8803-C7-TA-QC;Y1;MICROCRYSTAL_RV-8803-C7-TA-QC;C2846926;2;0.00
MBR0530;D1,D2,D3,D4;D_SOD-123;C77336;12;0.40
Touch;J1;FPC-SMD_P0.50-6P_QCHF-SM-H2.0;C262287;4;0.57
SI1308EDL;Q4;SOT-323_SC-70;C7603347;6;0.54
1uH;L2;0805;C1042;20;0.82
TP4054;U5;SOT-23-5;C5381776;10;0.15
CJ3415;Q3,Q5;SOT-23;C2910186;8;0.42
0.1uF;C17,C3;0603;C14663;20;0.06
0.47R;R10;0603;C23411;20;0.09
LIS3DH;U1;LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y;C15134;2;2.03
TSC02-TDW1FH3.5;SW1;SW-SMD_L7.8-W3.5-P4.20-EH;C22362983;5;0.12
SP0503BAHTG;D6;SOT-143;C3040626;5;0.48
ESP32-PICO-D4;U2;QFN-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm;C193707;2;8.51
4.7uF/25V;C5,C6;0603;C69335;20;0.34
CP2104;U3;QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm;C47742;2;4.48
10uF;C2,C21,C22,C4;0603;C19702;20;0.20
10uH/1A;L1;L_Vishay_IFSC-1515AH_4x4x1.8mm;C602032;5;0.31
UMH3N;Q7;SOT-363_SC-70-6;C62892;6;0.29
CJ2312;Q1,Q6;SOT-23;C23521;8;0.34
5.1k;R16,R17;0603;C23186;20;0.03
BAT54C;D5;SOT-23;C22466350;10;0.14
100nF;C18;0402;C1525;20;0.03
Screen;J2;FPC-SMD_P0.50-24P_QCHF-SM-H2.0;C262683;2;0.32
1M0;R15;0603;C22935;20;0.03
1uF;C10,C11,C12,C13,C14,C15,C16,C7,C8,C9,C1,C20;0603;C15849;34;0.26
ADP2108AUJ-3.3;U4;TSOT-23-5;C143875;2;0.00
10K;R1,R11,R12,R19,R5,R6,R7,R8,R9;0603;C25804;28;0.04
1k;R18,R2,R20;0603;C21190;20;0.03
S8050;Q2;SOT-23;C20069125;10;0.10
100K;R14,R3,R4;0603;C25803;20;0.04
300k;R13;0603;C23024;20;0.03
4.7nF;C19;0603;C53987;20;0.06
LED;D7;1206;C84270;15;0.35
